水泥成分,,,,,水泥强度,单方水泥用量,用水量,水灰比,,,粗骨料,,细骨料,粉煤灰成分,,,,,一级粉煤灰用量,二级粉煤灰用量,矿渣成分,,,,,矿渣用量,石灰石粉,硅灰比表面积,硅灰用量,28天强度,碳化开始时间,碳化持续时间,碳化深度
C-Ca,C-Si,C-Al,C-Fe,C-Mg,strength,cement,water,ratio,waterloss,gasml,bigagregate,mosu_sm,smallagregate,FA-Ca,FA-Si,FA-Al,FA-Fe,FA-Mg,FA-1,FA-2,Slag-Ca,Slag-Si,Slag-Al,Slag-Fe,Slag-Mg,Slag,Ca-powder,Si-surface,Si-powder,strength28d,begintime,holdtime,deepth
65.32,20.15,4.8,2.71,1.15,,550,165,0.3,,,854,,751,2.38,59.2,23.87,5.43,1.01,0,,,,,,,,,,,,28,7,
65.32,20.15,4.8,2.71,1.15,,550,165,0.3,,,780,,751,2.38,59.2,23.87,5.43,1.01,0,,,,,,,,,,,,28,7,
65.32,20.15,4.8,2.71,1.15,,440,165,0.38,,,854,,714,2.38,59.2,23.87,5.43,1.01,110,,,,,,,,,,,,28,7,0
65.32,20.15,4.8,2.71,1.15,,440,165,0.38,,,780,,714,2.38,59.2,23.87,5.43,1.01,110,,,,,,,,,,,,28,7,2.18
65.32,20.15,4.8,2.71,1.15,,440,165,0.38,,,684,,714,2.38,59.2,23.87,5.43,1.01,110,,,,,,,,,,,,28,7,2.22
65.32,20.15,4.8,2.71,1.15,,330,165,0.5,,,854,,677,2.38,59.2,23.87,5.43,1.01,220,,,,,,,,,,,,28,7,2.27
65.32,20.15,4.8,2.71,1.15,,330,165,0.5,,,780,,677,2.38,59.2,23.87,5.43,1.01,220,,,,,,,,,,,,28,7,2.48
65.32,20.15,4.8,2.71,1.15,,330,165,0.5,,,684,,677,2.38,59.2,23.87,5.43,1.01,220,,,,,,,,,,,,28,7,3.86
65.32,20.15,4.8,2.71,1.15,,550,165,0.3,,,854,,751,2.38,59.2,23.87,5.43,1.01,0,,,,,,,,,,,,28,56,
65.32,20.15,4.8,2.71,1.15,,550,165,0.3,,,780,,751,2.38,59.2,23.87,5.43,1.01,0,,,,,,,,,,,,28,56,
65.32,20.15,4.8,2.71,1.15,,440,165,0.38,,,854,,714,2.38,59.2,23.87,5.43,1.01,110,,,,,,,,,,,,28,56,4.03
65.32,20.15,4.8,2.71,1.15,,440,165,0.38,,,780,,714,2.38,59.2,23.87,5.43,1.01,110,,,,,,,,,,,,28,56,4.36
65.32,20.15,4.8,2.71,1.15,,440,165,0.38,,,684,,714,2.38,59.2,23.87,5.43,1.01,110,,,,,,,,,,,,28,56,4.69
65.32,20.15,4.8,2.71,1.15,,330,165,0.5,,,854,,677,2.38,59.2,23.87,5.43,1.01,220,,,,,,,,,,,,28,56,5.71
65.32,20.15,4.8,2.71,1.15,,330,165,0.5,,,780,,677,2.38,59.2,23.87,5.43,1.01,220,,,,,,,,,,,,28,56,5.82
65.32,20.15,4.8,2.71,1.15,,330,165,0.5,,,684,,677,2.38,59.2,23.87,5.43,1.01,220,,,,,,,,,,,,28,56,9.15
64.68,22.3,5.05,3.26,0.86, PII 52.5 Portland cement,450,120,0.27,,,1320,,680,,,,,,,,,,,,,,,,,,28,30,6.59
64.68,22.3,5.05,3.26,0.86, PII 52.5 Portland cement,445.5,120,0.28,,,1320,,680,,,,,,,,,,,,,,,,,,28,30,4.43
64.68,22.3,5.05,3.26,0.86, PII 52.5 Portland cement,441,120,0.29,,,1320,,680,,,,,,,,,,,,,,,,,,28,30,4.04
64.68,22.3,5.05,3.26,0.86, PII 52.5 Portland cement,436.5,120,0.3,,,1320,,680,,,,,,,,,,,,,,,,,,28,30,4.79
64.68,22.3,5.05,3.26,0.86, PII 52.5 Portland cement,450,120,0.27,,,1320,,680,,,,,,,,,,,,,,,,,,28,90,4.8
64.68,22.3,5.05,3.26,0.86, PII 52.5 Portland cement,445.5,120,0.28,,,1320,,680,,,,,,,,,,,,,,,,,,28,90,4.06
64.68,22.3,5.05,3.26,0.86, PII 52.5 Portland cement,441,120,0.29,,,1320,,680,,,,,,,,,,,,,,,,,,28,90,2.89
